Title,Address,Price,Description,Contact,Photos,Link,Bedrooms,Bathrooms,Toilets,Parking Spaces
5 bedroom house for sale,"Lekki Phase 1, Lekki, Lagos",550000000,"Property Description

Features:
- ensuite rooms aesthetic pop ceilings
- spot lighting chandelier sound system
- spacious living room cctv cameras
- clean water top quality tiles pantry
- island countertop master's suite
- walk-in closet walk-in shower jacuzzi
- custom vanity 2 parking spaces
- gate house secured estate
- good access roads flood free

Title: governors consent, c of o, survey plan.
For inquiries and inspection call us on whatsapp; 07066927609, 08052041649



Property Details
Property Ref: 3058258	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: House	Bedrooms: 5
Bathrooms: 5	Toilets: 6	Parking Spaces: 3",0704 XXXX,15,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/lekki-phase-1/3058258-exquisite-5-bedroom-fully-detached-duplex,5.0,5.0,5.0,5.0
4 bedroom semi-detached duplex for sale,"Chevron Lekki, Agungi, Lekki, Lagos",160000000,"Property Description

A premium, luxury 4 Bedroom Semi Detached Duplex With Modern Finishings and Fittings is available For Sale in Chevron, Lekki.

Title is Governor's Consent.

Serious Buyer should Send a Dm, Available For Inspection:



Property Details
Property Ref: 3058297	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Semi-detached Duplex	Bedrooms: 4
Bathrooms: 4	Toilets: 5	Parking Spaces: 4",0915 XXXX,9,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/agungi/3058297-luxury-spacious-4-bedroom-semi-detached-duplex,4.0,4.0,4.0,4.0
3 bedroom flat / apartment for sale,"Fashola Estate, Ibeshe, Ikorodu, Lagos",40000000,"Property Description

Welcome to your spacious and comfortable 3-bedroom flat, where modern amenities meet cozy living. This well-appointed residence offers the perfect blend of convenience, functionality, and style, providing an ideal space to call home.

Upon entering, you'll be greeted by a welcoming atmosphere and an abundance of natural light that fills the open-concept living area. The spacious layout seamlessly connects the living room, dining area, and kitchen, creating a versatile space for relaxing and entertaining.

The kitchen is equipped with all the essentials for culinary enthusiasts, featuring sleek countertops, ample storage space, and modern appliances. Whether you're whipping up a quick meal or preparing a gourmet feast, you'll find everything you need to unleash your inner chef.

This flat boasts three generously sized bedrooms, each offering a peaceful retreat for rest and relaxation. Every bedroom comes complete with its own wardrobe, providing plenty of storage space for your clothing and personal belongings.

With three bathrooms and three toilets, convenience is never compromised. Say goodbye to morning rushes and bathroom queues as you enjoy the luxury of having your own private bathing and grooming spaces.

For added comfort and convenience, this flat also includes a water heater, ensuring that you'll always have access to hot water whenever you need it. Whether it's a refreshing shower after a long day or a relaxing soak in the tub, you can indulge in ultimate comfort and luxury.

Located in a desirable neighborhood with easy access to amenities and transportation links, this 3-bedroom flat offers the perfect combination of urban convenience and suburban tranquility. Whether you're a family looking for a spacious home or professionals seeking a comfortable retreat, this flat is sure to exceed your expectations.

Don't miss out on the opportunity to make this exceptional residence your own. Schedule a viewing today and experience the ultimate in modern living.



Property Details
Property Ref: 2170117	Added On: 20 Mar 2024	Last Updated: 27 Aug 2025
Market Status: Available	Type: Flat / Apartment	Bedrooms: 3
Bathrooms: 3	Toilets: 3	Parking Spaces: 2
Servicing: Serviced	Service Charge: ₦120,000 per annum",0812 XXXX,5,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikorodu/ibeshe/2170117-3-bedrooms-flat-with-great-facilities,3.0,3.0,3.0,3.0
3 bedroom detached bungalow for sale,"Idera Scheme, Eleko, Ibeju Lekki, Lagos",78000000,"Property Description

LEKKI AVANA PHASE II BUILDING TYPES AND PRICES

Dear Clients/Realtors,

As we countdown to the launch of Lekki Avana Phase II this August, here is your first look at what to expect when the estate officially launch

The result at Lekki Avana Bungalow and Resorts speaks for itself and with Lekki Avana Phase II you are in for Moreincluding more building types to choose from.

Find the details below

3 Bedroom Bungalow without Pool
*Promo Price Selling Price
*N65million -N70million

3 Bedroom Bungalow with Pool
Promo Price Selling Price
N73millio -N80million

4 Bedroom Bungalow without Pool
Promo Price Selling Price
N70million-N78million

4 Bedroom Bungalow with Pool
*Promo Price Selling Price
*N78million -N85million

Kindly note that price will only take effect from the launch date as only commitment fee of N1million is required at the moment to secure a unit.

Also, regardless of the unit type you choose to go for while making your refundable fee, you will have the opportunity to spread payment for 3, 6 or 12months after launch when unit price takes effect.

Now, don't wait to hear that all available units have been secured with N1million refundable deposit before you make your decision. The best time to get onboard is now



Property Details
Property Ref: 2760622	Added On: 10 Mar 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Detached Bungalow	Bedrooms: 3
Bathrooms: 4	Toilets: 4	Parking Spaces: 3",0806 XXXX,25,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/eleko/2760622-4bedroom-bungalow-a-resort-with-a-swimming-pool,3.0,4.0,4.0,4.0
5 bedroom detached duplex for sale,"Lekki County, Ikota, Lekki, Lagos",650000000,"Property Description

FOR SALE: A BREATHTAKING 5 BEDROOM FULLY-DETACHED DUPLEX WITH BQ, TWO POOLS AND ELEVATOR

Location: Lekki County

Price: ₦650,000,000

Features:
-Ensuite rooms
-Family lounge
-Aesthetic POP ceilings
-Spot lighting
-Chandelier
-Clean water
-Sound system
-Spacious living room
-CCTV cameras
-Video doorbell security
-Top quality tiles
-Pantry
-Island countertop
-Master's suite
-Walk-in closet
-Smart home
-Walk-in shower
-Custom vanity
-4 parking spaces
-Open terrace
-Gate house
-Secured estate
-Good access roads
-Flood free

TITLE: C of O

KINDLY CALL WE-SERVICE PROPERTIES ON

WHATSAPP 08028989023
ESTATE SURVEYOR GBOHUNMI.

STEP



Property Details
Property Ref: 3058253	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Detached Duplex	Bedrooms: 5
Bathrooms: 5	Toilets: 6	Parking Spaces: 4",0802 XXXX,21,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3058253-breathtaking-5-bedroom-fully-detached-duplex-with-bq,5.0,5.0,5.0,5.0
2 bedroom house for sale,"In A Secured Estate, Ikate, Lekki, Lagos",200000000,"Property Description

FOR SALE 2-BEDROOM APARTMENT

PRICE:200M

LOCATION:IKATE,LEKKI LAGOS

FEATURES
MODERN HOUSE
PERFECT FINISHING
ALL ROOMS EN-SUITE
FITTED KITCHEN
FITTED BATHROOMS
WARDROBES
FAMILY LOUNGE
GYM
SWIMMING POOL
24HRS ELECTRICITY SUPPLY
SECURED ESTATE

TITLE:GOVERNOR'S CONSENT

CALL US FOR ENQUIRIES AND INSPECTION:08087813295



CALL US FOR ENQUIRIES AND INSPECTION:08087813295



Property Details
Property Ref: 3058140	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: House	Bedrooms: 2
Bathrooms: 2	Toilets: 3	Parking Spaces: 2",0808 XXXX,14,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ikate/3058140-2bedroom-apartment-in-a-well-secured-estate,2.0,2.0,2.0,2.0
Mixed-use land for sale,"Cmd Road, GRA Phase 2, Magodo, Lagos",4000000000,"Property Description

FOR SALE AT MAGODO BROOKS ESTATE,CMD MAGODO PHASE 2:

A corner peice land measuring 3888sqm(1acre) facing the major CMD road and as well falls within the highly secured and well structured brooks estate.

Title: C of O
Location: Magodo Brooks Estate, Cmd, Magodo Phase 2
Price: N4bn



Property Details
Property Ref: 3054818	Added On: 25 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Mixed-use Land	Total Area: 3,888 sqm",0816 XXXX,2,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/magodo/gra-phase-2/3054818-expanse-of-land-measuring-3888sqm-along-cmd-road-and-facing-magodo-est,,,,
2 bedroom semi-detached duplex for sale,"Ikeja, Lagos",250000000,"Property Description

Luxurious 2 Bedrooms with Bq

Location: Adeniyi jones, Ikeja

Price: 2 Bed + Bq Price: ₦250M

Features:
- En-suite rooms POP Ceilings
- Spotlights Chandeliers
- Dining Area Fitted Kitchen
- Family Lounge Balconies
- Guest Room BQ
- Water Heaters Water Closets
- Walk-in Closet Walk-in Showers

Title: Certificate of Occupancy

Son



Property Details
Property Ref: 3058249	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Semi-detached Duplex	Bedrooms: 2
Bathrooms: 2",+234 XXXX,3,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ikeja/3058249-luxurious-2-bedrooms-maisonette-with-bq,2.0,2.0,,
4 bedroom house for sale,"Chevron, Lekki, Lagos",200000000,"Property Description

Features:
- ensuite rooms aesthetic pop ceilings
- spot lighting chandelier sound system
- spacious living room cctv cameras
- clean water top quality tiles pantry
- island countertop master's suite
- walk-in closet walk-in shower jacuzzi
- custom vanity 2 parking spaces
- gate house secured estate
- good access roads flood free

Title: Governors consent, C of O, Survey plan.
For inquiries and inspection call us on whatsapp; 07066927609, 08052041649



Property Details
Property Ref: 3058252	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: House	Bedrooms: 4
Bathrooms: 4	Toilets: 5	Parking Spaces: 3",0704 XXXX,10,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/3058252-beautiful-4-bedroom-terrace-duplex,4.0,4.0,4.0,4.0
4 bedroom terraced duplex for sale,"Maryland, Lagos",210000000,"Property Description

Newly Built 4 Bedroom Terrace Duplex

Location: Anthony ,Maryland
Price: ₦210M

Features
- En-suite rooms POP Ceilings
- Living Area CCTV
- Fitted Kitchen Dinning area
- 24hours uninterrupted power
- 24hours security Clean Water

Title: Certificate of Occupancy

Son



Property Details
Property Ref: 3058266	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Terraced Duplex	Bedrooms: 4
Bathrooms: 4",+234 XXXX,7,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/maryland/3058266-newly-built-4-bedroom-terrace-duplex,4.0,4.0,,
5 bedroom house for sale,"Chevron Toll Gate, Lekki, Lagos",400000000,"Property Description

FEATURES:
- Ensuite rooms Aesthetic pop ceilings
- Spot lighting Chandelier Sound system
- Spacious living room Cctv cameras
- Clean water Top quality tiles Pantry
- Island countertop Master's suite
- Walk-in closet Walk-in shower Jacuzzi
- Custom vanity 2 parking spaces
- Gate house Secured estate
- Good access roads Flood free

TITLE: GOVERNORS CONSENT, COFO, SURVEY PLAN..
FOR INQUIREIES AND INSPECTION CALL US ON WHATSAPP; 07066927609, 08052041649



Property Details
Property Ref: 3058269	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: House	Bedrooms: 5
Bathrooms: 5	Toilets: 6	Parking Spaces: 3",0704 XXXX,15,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/3058269-exquisite-5-bedroom-duplex-with-a-bqpoolcinema,5.0,5.0,5.0,5.0
4 bedroom terraced duplex for sale,"Perfect For Professionals, Families, Or Investors Seeking Value, Maryland, Lagos",290000000,"Property Description

NEWLY BUILT 4-BEDROOM TERRACE DUPLEX + BQ
PRIME LOCATION IN MARYLAND, LAGOS

Location: Maryland, Lagos
Price: ₦290,000,000
Title: Certificate of Occupancy (C of O)

⸻

This beautifully designed 4-bedroom terrace duplex with Boys' Quarters is strategically located in the serene and central neighborhood of Maryland. It offers premium finishing, modern fittings, and a highly secure environment---perfect for family living or long-term investment.

Perfect for professionals, families, or investors seeking a high-value home in a prime Lagos location.

⸻

PROPERTY FEATURES
- Brand New Build
- All Rooms Ensuite
- Spacious Living & Dining Area
- Fully Fitted Kitchen
- Boys' Quarters (BQ)
- POP Ceiling with Spotlights
- Ample Parking & Guest Parking Space
- CCTV Surveillance
- Fortified Security Doors
- 24-Hour Power & Security
- Detailed Modern Finishing

⸻

WHY YOU SHOULD INVEST
- Prime Location -- Central Maryland Axis
- Strong Rental & Short-let Potential
- Secure & Serene Estate Living
- Modern Infrastructure & Quality Build

⸻

BOOK YOUR INSPECTION OR ENQUIRE
Call/WhatsApp Usman -- 09019456313 09037563792

Email: rayerealtors@gmail.com
Follow @raye_realtors on Instagram for Verified Luxury Homes in Lagos



Property Details
Property Ref: 3058271	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Terraced Duplex	Bedrooms: 4
Bathrooms: 4	Toilets: 5",0901 XXXX,13,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/maryland/3058271-newly-built-4-bedroom-terrace-duplex-bq,4.0,4.0,4.0,
5 bedroom house for sale,"Wemco Road, Ikeja, Lagos",300000000,"Property Description

Luxury 5 bedroom duplex for sale.

We accept payment plan.

Title: CofO



Property Details
Property Ref: 3058267	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: House	Bedrooms: 5
Toilets: 5",0803 XXXX,15,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/3058267-luxury-5-bedroom-duplex,5.0,,5.0,
4 bedroom semi-detached duplex for sale,"Surulere, Lagos",250000000,"Property Description

FOR SALE: Alluring 4-Bedroom Semi-Detached Duplex In a very secured Call-to-access estate

Location: Surulere, Lagos
Price: ₦265m
Title: Deed & Survey, Global C of O

Experience contemporary comfort in this brand-new 4-bedroom semi-detached duplex, thoughtfully designed with high-end finishes and located within a secure gated estate in Surulere.

Property Features:
Brand New Construction
Gated & Secure Estate
Spacious Living and Dining Area
All Rooms En-suite
Inbuilt POP Ceiling Sound System
Stylish POP Ceilings
Elegant Chandeliers
Fully Fitted Kitchen
Premium Woodwork and Finishes
Water Heaters
Clean Water Supply
Ample Parking Space
Excellent Ambience

For Enquiries & Inspection:
Call/WhatsApp: +234 906 378 7603
Email: BPropertyNigeria@gmail.com

Luxury meets functionality in the heart of Surulere.



Property Details
Property Ref: 3058279	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Semi-detached Duplex	Bedrooms: 4
Bathrooms: 5	Toilets: 5	Parking Spaces: 2",0906 XXXX,18,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/surulere/3058279-newly-built-4-bedroom-semi-detached-duplex-with-exceptional-features,4.0,5.0,5.0,5.0
4 bedroom semi-detached duplex for sale,"Ajah, Lagos",130000000,"Property Description

FOR SALE : MOST AFFORDABLE 4 BEDROOM SEMI-DETACHED DUPLEX.

AJAH, LAGOS
₦130,000,000

Features:
-Spacious rooms
-Parking space for 3 cars
-Chandeliers
-POP ceilings
-Inbuilt Bluetooth speakers
-Fully Fitted kitchen
-Family Lounge
-Walk-in showers

Title: Governor Consent and Building Approval
For viewing or more information
Call or WhatsApp:09012306335
Email: alimmuhammed019@gmail.com



Property Details
Property Ref: 3058296	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Semi-detached Duplex	Bedrooms: 4
Bathrooms: 4	Toilets: 5	Parking Spaces: 3",0901 XXXX,12,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/3058296-most-affordable-4-bedroom-semi-detached-duplex,4.0,4.0,4.0,4.0
Residential land for sale,"Noheem Street, Ajah, Lagos",55000000,"Property Description

A fully sandfilled land at Ogombo Abraham adesanya express road
3plot off the the Ogombo express road
Going for a cheap price
Title CofO
Price 55m



Property Details
Property Ref: 3058288	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Residential Land	Parking Spaces: 3
Total Area: 633 sqm	Covered Area: 633 sqm",0808 XXXX,3,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ajah/3058288-land,,,,3.0
2 bedroom flat / apartment for sale,"Teslim Elias Close, Ahmadu Bello Way, Victoria Island (VI), Lagos",250000000,"Property Description

Pay 30% to own your Condo in this Grand & luxurious off plan Glass 2 Bedroom Apartment located in one of the most prestigious areas in Lagos state.


Construction ongoing



30% initial deposit - 18 months payment plan

Amenities :
Main Lounge
Kitchen
Dinning area
Visitors Toilet
2 bedrooms Ensuite
Water Treatment
24/7 CCTV Surveillance
Electric Fencing
Gym
Elevator
Good Drainage
Swimming Pool
Concierge
Ample parking
24/7 power Supply
Green area
Good road network

Location : Teslim Elias Close, Victoria Island, Lagos.


Close proximity to the following areas : Lagos Continental Hotel, Eko Court Complex, Mega Plaza, SPAR, Cilantro Lagos, Reddington Hospital, Glo Headquarters, Victoria Island Post Office, Radisson Blu Anchorage, Eko Bank Headquarters, Corona School

For more enquires and information on this property please call 08061764516

Bankofproperty1@gmail.com



Property Details
Property Ref: 2159972	Added On: 13 Mar 2024	Last Updated: 25 Aug 2025
Market Status: Available	Type: Flat / Apartment	Bedrooms: 2
Bathrooms: 2	Toilets: 3	Parking Spaces: 2
Furnishing: Furnished	Total Area: 150 sqm	Covered Area: 150 sqm
Servicing: Serviced",0806 XXXX,11,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/2159972-serviced-luxury-off-plan-glass-2-bedroom-condo-with-concierge-pool,2.0,2.0,2.0,2.0
Hotel / guest house for sale,"Joel Ogunnaike, Ikeja GRA, Ikeja, Lagos",6200000000,"Property Description

DIRECT INSTRUCTION
PREMIUM HOTEL FOR SALE

32 Rooms Luxury Hotel on 2062sqm land at Joel Ogunnaike, Ikeja GRA, Lagos

100% Exquisite Modern Amenities
Prime Location in Ikeja GRA
Tastefully Finished & Well Maintained

Location: Ikeja GRA, Lagos
Title: C of O / Governor's Consent

Price: ₦6.2 Billion



Property Details
Property Ref: 3058190	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Hotel / Guest House",0816 XXXX,17,https://nigeriapropertycentre.com/for-sale/commercial/hotels-guest-houses/lagos/ikeja/gra/3058190-premium-32-rooms-hotel-at-joel-ogunnaike-ikeja-gra,,,,
6 bedroom detached duplex for sale,"Off College Road, Ogba, Ikeja, Lagos",250000000,"Property Description

For Sale! For Sale!! For Sale!!!

6 bedroom duplex at the front with 3 units of 3 bedroom flat.

Location Gospel Crusader Haruna off college road.

Price:₦250m Asking

Net: ₦200m(No deduction)

Land size 673sqm

Title Lagos Global C of O.



Property Details
Property Ref: 3058247	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Detached Duplex	Bedrooms: 6
Bathrooms: 6	Toilets: 6	Parking Spaces: 6
Total Area: 673 sqm	Covered Area: 673 sqm",0816 XXXX,1,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/ogba/3058247-6-bedroom-detached-duplex-with-3-bedroom-flat-at-the-back,6.0,6.0,6.0,6.0
2 bedroom block of flats for sale,"Periwinkle Estate, Lekki Phase 1, Lekki, Lagos",370000000,"Property Description

Two bedroom apartment available for sale in periwinkle estate. Lekki phase I. Located on the second floor with elevator in the mini estate

Rooms en-suite
Fully furnished
Gym
Pool
Rooftop terrace
86 inches tv
Two balconies
Fully serviced
Bluetooth/wifi ceiling speakers in the rooms and living room
Kitchen is fully fitted.



Property Details
Property Ref: 3039972	Added On: 18 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Block of Flats	Bedrooms: 2
Bathrooms: 2	Toilets: 2	Parking Spaces: 4
Furnishing: Furnished	Servicing: Serviced",0810 XXXX,flats for sale,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3039972-luxury-2-bedroom-apartment-fully-furnished,2.0,2.0,2.0,2.0
4 bedroom detached duplex for sale,"Live Smart, Live Stylish Here In, GRA Phase 1, Magodo, Lagos",410000000,"Property Description

Experience Fine Living At This Exclusively Built 4 Bedroom Fully Detached Duplex in Magodo, Phase 1

𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧: 𝐌𝐚𝐠𝐨𝐝𝐨 𝐏𝐡𝐚𝐬𝐞 𝟏
𝐏𝐫𝐢𝐜𝐞: ₦𝟒𝟏𝟎𝐌
𝐓𝐢𝐭𝐥𝐞: 𝐂𝐞𝐫𝐭𝐢𝐟𝐢𝐜𝐚𝐭𝐞 𝐨𝐟 𝐎𝐜𝐜𝐮𝐩𝐚𝐧𝐜𝐲 (C-Of-O)

Property Features
- 4 Spacious Ensuite Bedrooms
- Fully Fitted Modern Kitchen
- Stylish Wardrobes
- Water Heaters Installed
- Sophisticated POP Ceilings
- Ample Parking Area
- Serene & Secure Estate with
- Round-the-Clock Professional Security
- Premium Finishing With Contemporary Design

Live smart, live stylish in Lagos most connected location.

𝐅𝐨𝐫 𝐌𝐨𝐫𝐞 𝐢𝐧𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧, 𝐈𝐧𝐬𝐩𝐞𝐜𝐭𝐢𝐨𝐧𝐬 𝐚𝐧𝐝 𝐏𝐮𝐫𝐜𝐡𝐚𝐬𝐞 𝐏𝐥𝐞𝐚𝐬𝐞 𝐂𝐚𝐥𝐥/𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩:
𝐅𝐢𝐫𝐦𝐜𝐨 𝐏𝐫𝐨𝐩𝐞𝐫𝐭𝐲: 𝟎𝟕𝟎𝟔𝟗𝟔𝟎𝟒𝟕𝟐𝟔/𝟎𝟕𝟎𝟖𝟖𝟔𝟒𝟐𝟏𝟗𝟑
𝐟𝐢𝐫𝐦𝐜𝐨𝐩𝐫𝐨𝐩𝐞𝐫𝐭𝐲@𝐠𝐦𝐚𝐢𝐥.𝐜𝐨𝐦



Property Details
Property Ref: 3058199	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Detached Duplex	Bedrooms: 4
Bathrooms: 5	Toilets: 5	Parking Spaces: 3
Furnishing: Furnished	Total Area: 300 sqm	Covered Area: 300 sqm",0706 XXXX,21,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-1/3058199-luxuriously-built-4-bedroom-fully-detached-duplex-in-magodo,4.0,5.0,5.0,5.0
Residential land for sale,"GRA Phase 1, Magodo, Lagos",450000000,"Property Description

A Dry bare land measuring 874.279SQM with a demolishable structure inside a very secured Estate --- (FREE FROM WATER LOG ZONE)

️️️️️ Title: C OF O
Location: Magodo GRA Phase 1
Price: NGN 420M NET; NGN 450M LET'S CLOSE

Kindly reach out to ""MR OLA"" through the contact below

For more Enquiry/Private Viewings & Consultation, Kindly Call/WhatsApp MR OLA - +234 704 078 9969, +234 916 483 7660
: info.royaledixiehomes@gmail.com



Property Details
Property Ref: 3058210	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Residential Land	Total Area: 874 sqm
Covered Area: 874 sqm",+234 XXXX,4,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/magodo/gra-phase-1/3058210-a-dry-bare-land-measuring-874279sqm-with-a-demolishable-structure,,,,
4 bedroom terraced duplex for sale,"Spg Road, Ologolo, Lekki, Lagos",180000000,"Property Description

FOR SALE: 14 Units of Brand New Luxury 4-Bedroom Terraces in Lekki!
SPG Road, Ologolo, Lekki

Step into the perfect blend of comfort, safety, and style with these beautifully finished 4-bedroom terraced homes---ideal for families and savvy investors!

Features:
All rooms ensuite
Spacious 2-car garage
Industrial water treatment system
Sewage treatment plant
Facility manager's office
Fire-fighting system + smoke/fire detectors
CCTV surveillance
In-ceiling speakers + DSTV
100kVA & 65kVA soundproof generators
Dedicated 250kVA transformer

️ Title: Governor's Consent -- Peace of mind guaranteed!

Prices:
Corner Units -- ₦180 Million
Middle Units -- ₦170 Million

Limited units available! Don't miss this premium opportunity in a fast-growing Lekki neighborhood.

Call Hauz Concept today:
08033342296 08026664211
hauzconcept@gmail.com



Property Details
Property Ref: 2944898	Added On: 27 Jun 2025	Last Updated: 21 Aug 2025
Market Status: Available	Type: Terraced Duplex	Bedrooms: 4
Bathrooms: 4	Toilets: 5	Parking Spaces: 2",0803 XXXX,21,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ologolo/2944898-14-units-of-brand-new-4-bedroom-terraces,4.0,4.0,4.0,4.0
4 bedroom semi-detached duplex for sale,"Surulere, Lagos",249999999,"Property Description

FOR SALE -- Exquisitely Built 3 Bedroom Semi-Detached Duplex

Location: Surulere, Lagos
Price: ₦250M
Title: Certificate of Occupancy

Luxury Redefined
This premium 4-bedroom semi-detached duplex offers an unmatched combination of space, style, and sophistication, located in one of Lagos' most sought-after neighborhoods.

Property Features:

All rooms ensuite

Fitted kitchen with accessories

Modern POP ceiling

Detailed finishing

Wardrobes

Spotlights

Water heater

Heat extractor

Ample parking space

For Enquiries, Inspection & Purchase:
Call/WhatsApp: +234 906 378 7603
Email: BPropertyNigeria@gmail.com



Property Details
Property Ref: 3058193	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Semi-detached Duplex	Bedrooms: 4
Bathrooms: 5	Toilets: 5	Parking Spaces: 2",0906 XXXX,12,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/surulere/3058193-newly-built-3-bedroom-semi-detached-duplex-with-exceptional-features,4.0,5.0,5.0,5.0
2 bedroom flat / apartment for sale,"Surulere, Lagos",90000000,"Property Description

Beautifully Constructed 2-Bedroom Apartments

Location: Surulere, Lagos

Total Price Including Documentation
Price for 2 Bedrooms: ₦90M

Features:

- Generously sized living area
- High-speed Fibre Network
- Private bathrooms in each room
- Modern and fully equipped kitchen
- 24-hour security
- Ample parking space
- Well-connected roads
- Included water heater and Shower system
- Efficient Heat Extractor
- Reinforced Doors
- Convenient Shopping Mall
- Shared Swimming Pool
- Accessible Gym House

Title : Certificate of Occupancy

Son



Property Details
Property Ref: 3058195	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Flat / Apartment	Bedrooms: 2
Bathrooms: 2",+234 XXXX,1,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3058195-beautifully-constructed-2-bedroom-apartments,2.0,2.0,,
4 bedroom detached duplex for sale,"Phase 1 Scheme, Magodo, Lagos",370000000,"Property Description

_DIRECT INSTRUCTION_ *FOR SALE: LUXURIOUS FINISHED 4 BEDROOM FULLY DETACHED DUPLEX WITH SECURITY HOUSE AND A BQ IN MAGODO PHASE 1 SCHEME*

Features:
Boys quarter
Spacious compound (5cars)
Fitted kitchen
Ante room
2 sitting room
Imported doors, light, kitchen equipment, etc

Location: Magodo phase 1

Title: Certificate of occupancy

Price: N370 million



Property Details
Property Ref: 3058196	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Detached Duplex	Bedrooms: 4
Bathrooms: 4	Toilets: 4	Parking Spaces: 3
Total Area: 650 sqm	Covered Area: 650 sqm",0816 XXXX,1,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/3058196-luxuriously-finished-4-bedroom-fully-detached-duplex,4.0,4.0,4.0,4.0
1 bedroom flat / apartment for sale,"Surulere, Lagos",75000000,"Property Description

Beautifully Constructed 1-Bedroom Apartment

Location: Surulere, Lagos

Total Price Including Documentation
Price for 1 Bedroom: ₦75M

Features:

- Generously sized living area
- High-speed Fibre Network
- Private bathrooms in each room
- Modern and fully equipped kitchen
- 24-hour security
- Ample parking space
- Well-connected roads
- Included water heater and Shower system
- Efficient Heat Extractor
- Reinforced Doors
- Convenient Shopping Mall
- Shared Swimming Pool
- Accessible Gym House

Title : Certificate of Occupancy

Son



Property Details
Property Ref: 3058202	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Flat / Apartment	Bedrooms: 1
Bathrooms: 1",+234 XXXX,1,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3058202-beautifully-constructed-1-bedroom-apartment,1.0,1.0,,
